variant,input,threads,score,time_sec,run
task_paral,mapb10_10a.txt,32,580,6.5154,4
task_paral,mapb10_10a.txt,32,580,7.5004,5
task_paral,mapb10_10a.txt,32,580,6.53621,6
task_paral,mapb10_10a.txt,32,580,6.47952,7
task_paral,mapb10_10a.txt,32,580,6.59846,8
task_paral,mapb10_10a.txt,32,580,7.07218,9
task_paral,mapb10_10a.txt,32,580,6.40898,10
task_paral,mapb10_10a.txt,48,580,7.23715,1
task_paral,mapb10_10a.txt,48,580,6.93534,2
task_paral,mapb10_10a.txt,48,580,7.07144,3
task_paral,mapb10_10a.txt,48,580,7.35672,4
task_paral,mapb10_10a.txt,48,580,7.11519,5
task_paral,mapb10_10a.txt,48,580,6.92448,6
task_paral,mapb10_10a.txt,48,580,6.94315,7
task_paral,mapb10_10a.txt,48,580,7.38568,8
task_paral,mapb10_10a.txt,48,580,6.86683,9
task_paral,mapb10_10a.txt,48,580,6.9646,10
task_paral,mapb8_8a.txt,1,490,0.0040796,1
task_paral,mapb8_8a.txt,1,490,0.00404997,2
task_paral,mapb8_8a.txt,1,490,0.00406133,3
task_paral,mapb8_8a.txt,1,490,0.00407836,4
task_paral,mapb8_8a.txt,1,490,0.00408371,5
task_paral,mapb8_8a.txt,1,490,0.00405258,6
task_paral,mapb8_8a.txt,1,490,0.00407949,7
task_paral,mapb8_8a.txt,1,490,0.00406716,8
task_paral,mapb8_8a.txt,1,490,0.00411247,9
task_paral,mapb8_8a.txt,1,490,0.00409333,10
task_paral,mapb8_8a.txt,2,490,0.00606058,1
task_paral,mapb8_8a.txt,2,490,0.0065113,2
task_paral,mapb8_8a.txt,2,490,0.0060204,3
task_paral,mapb8_8a.txt,2,490,0.00652575,4
task_paral,mapb8_8a.txt,2,490,0.00630488,5
task_paral,mapb8_8a.txt,2,490,0.00644821,6
task_paral,mapb8_8a.txt,2,490,0.00650345,7
task_paral,mapb8_8a.txt,2,490,0.00669925,8
task_paral,mapb8_8a.txt,2,490,0.0067753,9
task_paral,mapb8_8a.txt,2,490,0.00684714,10
task_paral,mapb8_8a.txt,4,490,0.00428153,1
task_paral,mapb8_8a.txt,4,490,0.00419332,2
task_paral,mapb8_8a.txt,4,490,0.00396666,3
task_paral,mapb8_8a.txt,4,490,0.00409674,4
task_paral,mapb8_8a.txt,4,490,0.00418341,5
task_paral,mapb8_8a.txt,4,490,0.00450652,6
task_paral,mapb8_8a.txt,4,490,0.00416887,7
task_paral,mapb8_8a.txt,4,490,0.00401908,8
task_paral,mapb8_8a.txt,4,490,0.00420055,9
task_paral,mapb8_8a.txt,4,490,0.00429227,10
task_paral,mapb8_8a.txt,12,490,0.00496576,1
task_paral,mapb8_8a.txt,12,490,0.00509792,2
task_paral,mapb8_8a.txt,12,490,0.00517176,3
task_paral,mapb8_8a.txt,12,490,0.00534422,4
task_paral,mapb8_8a.txt,12,490,0.00538801,5
task_paral,mapb8_8a.txt,12,490,0.00508663,6
task_paral,mapb8_8a.txt,12,490,0.00522027,7
task_paral,mapb8_8a.txt,12,490,0.00501524,8
task_paral,mapb8_8a.txt,12,490,0.00555057,9
task_paral,mapb8_8a.txt,12,490,0.00544132,10
task_paral,mapb8_8a.txt,16,490,0.00502648,1
task_paral,mapb8_8a.txt,16,490,0.00566211,2
task_paral,mapb8_8a.txt,16,490,0.00565835,3
task_paral,mapb8_8a.txt,16,490,0.00529305,4
task_paral,mapb8_8a.txt,16,490,0.00512436,5
task_paral,mapb8_8a.txt,16,490,0.00533437,6
task_paral,mapb8_8a.txt,16,490,0.00518789,7
task_paral,mapb8_8a.txt,16,490,0.00566843,8
task_paral,mapb8_8a.txt,16,490,0.00527604,9
task_paral,mapb8_8a.txt,16,490,0.00538332,10
task_paral,mapb8_8a.txt,32,490,0.00650419,1
